abs.name
23555 anonychomyrma scrutator
podomyrma laevifrons
20484 allomerus octoarticulatus
cordia nodosa
20485 allomerus octoarticulatus
cordia nodosa
27142 acacia drepanolobium
tetraponera penzigi
20487 allomerus octoarticulatus
cordia nodosa
duroia hirsuta
myrmelachista schumanni
20488 cordia nodosa
9226 vachellia erioloba
9227 cataulacus intrudens
tapinoma subtile
tetraponera ambigua
vachellia erioloba
10253 humboldtia brunonis
83982 allomerus octoarticulatus
hirtella myrmecophila
83984 pheidole bicornis
piper fimbriulatum
32793 hirtella physophora
32794 hirtella physophora
maieta guianensis
tococa guianensis
32795 allomerus decemarticulatus
hirtella physophora
77860 crematogaster laevis
maieta guianensis
pheidole minutula
27182 macaranga bancana
macaranga beccariana
macaranga trachyphylla
macaranga winkleri
53813 conostegia setosa
pheidole melastomae
57404 pseudomyrmex fortis
pseudomyrmex viduus
36927 acrostichum danaeifolium
tapinoma sessile
wasmannia auropunctata
53830 pheidole bicornis
13898 camponotus femoratus
crematogaster limata
13906 discothyrea oculata
scaphopetalum thonneri
tetramorium tabarum
13907 anthocleista vogelii
barteria fistulosa
lophira alata
13909 barteria fistulosa
tetraponera aethiops
13405 clidemia heterophylla
19069 pheidole bicornis
piper fimbriulatum
31872 crematogaster laevis
maieta guianensis
pheidole minutula
tococa bullifera
4242 maieta guianensis
pheidole minutula
82584 humboldtia brunonis
technomyrmex albipes
37529 barteria fistulosa
tetraponera aethiops
wasmannia auropunctata
36000 acacia drepanolobium
crematogaster mimosae
27302 allomerus octoarticulatus
hirtella myrmecophila
27304 allomerus octoarticulatus
hirtella myrmecophila
maieta guianensis
pheidole minutula
27306 crematogaster laevis
maieta guianensis
pheidole minutula
56491 azteca alfari
azteca isthmica
azteca ovaticeps
cecropia pachystachya
86703 maieta guianensis
pheidole minutula
85180 macaranga puncticulata
45762 nauclea vanderguchtii
45763 ludekia borneensis
myrmeconauclea stipulacea
myrmeconauclea strigosa
nauclea orientalis
pertusadina malaccensis
61124 barteria fistulosa
56011 maieta guianensis
pheidole minutula
46797 cecropia obtusa
solenopsis saevissima
10958 maieta poeppigii
pheidole minutula
84773 barteria fistulosa
36584 cecropia obtusa
61163 humboldtia decurrens
vombisidris humboldticola
vombisidris occidua
67825 myrmelachista flavocotea
ocotea atirrensis
2292 cordia nodosa
28919 mucuna interrupta
83196 mucuna interrupta
38141 allomerus octoarticulatus
tococa guianensis
62226 barteria fistulosa
tetraponera aethiops
70419 cataulacus intrudens
tapinoma subtile
tetraponera ambigua
vachellia erioloba
49941 technomyrmex albipes
49942 humboldtia brunonis
49943 humboldtia brunonis
technomyrmex albipes
16666 korthalsia furtadoana
16667 allomerus octoarticulatus
cordia nodosa
36133 drypetes pendula
zanthoxylum myriacanthum
36134 clerodendrum fistulosum
36136 ficus obscura
68914 miconia stylosa
tococa coronata
tococa stellata
tococa stenoptera
tococa subciliata
17726 humboldtia laurifolia
81746 allomerus octoarticulatus
cordia nodosa
22867 allomerus decemarticulatus
hirtella physophora
22868 allomerus decemarticulatus
18792 myrcia madida
myrcidris epicharis
58229 pseudomyrmex triplarinus
triplaris americana
triplaris poeppigiana
21380 aphomomyrmex afer
leonardoxa africana
21388 humboldtia brunonis
technomyrmex albipes
31117 myrmelachista flavocotea
ocotea atirrensis
62870 pseudomyrmex dendroicus
triplaris americana
21402 crematogaster treubi
13807 leonardoxa africana
82848 cinnamomum camphora
21410 caularthron bilamellatum
43946 azteca pittieri
cordia alliodora
43947 azteca pittieri
cordia alliodora
43951 cordia alliodora
36785 leonardoxa africana
19393 pseudomyrmex concolor
27083 crematogaster difformis
32718 cordia nodosa
polytaenium cajenense
80340 humboldtia brunonis
57938 formica podzolica
54781 azteca pittieri
cephalotes setulifer
cordia alliodora
crematogaster carinata
pseudomyrmex fortis
54267 azteca pittieri
cephalotes multispinosus
cephalotes setulifer
cordia alliodora
crematogaster curvispinosa
54269 cordia gerascanthus
54783 azteca pittieri
cephalotes setulifer
cordia alliodora
crematogaster carinata
pseudomyrmex fortis
36000 acacia drepanolobium
crematogaster mimosae
13313 maieta guianensis
pheidole minutula
tococa bullifera
82848 cinnamomum camphora
21380 aphomomyrmex afer
leonardoxa africana
53830 pheidole bicornis
20488 cordia nodosa
85180 macaranga puncticulata
21388 humboldtia brunonis
technomyrmex albipes
10253 humboldtia brunonis
13806 leonardoxa africana
petalomyrmex phylax
54781 azteca pittieri
cephalotes setulifer
cordia alliodora
crematogaster carinata
pseudomyrmex fortis
82584 humboldtia brunonis
technomyrmex albipes
28919 mucuna interrupta
24184 tetramorium pacificum
67168 calamus longipinna
chamaedorea pochutlensis
rhapis humilis
16666 korthalsia furtadoana
83196 mucuna interrupta
21402 crematogaster treubi
54783 azteca pittieri
cephalotes setulifer
cordia alliodora
crematogaster carinata
pseudomyrmex fortis
21410 caularthron bilamellatum
38074 cladomyrma petalae
crypteronia griffithii
saraca thaipingensis
23415 cordia nodosa
duroia saccifera
maieta guianensis
tococa coronata
13313 maieta guianensis
pheidole minutula
tococa bullifera
13924 azteca alfari
azteca bequaerti
azteca chartifex
azteca ovaticeps
tococa guianensis
51379 cordia nodosa
hirtella physophora
maieta guianensis
pheidole minutula
35116 allomerus decemarticulatus
hirtella physophora
74058 allomerus decemarticulatus
hirtella physophora
56011 maieta guianensis
pheidole minutula
13964 allomerus decemarticulatus
hirtella physophora
86703 maieta guianensis
pheidole minutula
13906 discothyrea oculata
scaphopetalum thonneri
tetramorium tabarum
22867 allomerus decemarticulatus
hirtella physophora
32793 hirtella physophora
79003 azteca alfari
azteca bequaerti
azteca chartifex
azteca ovaticeps
tococa guianensis
19947 anoplolepis tenella
19949 anoplolepis tenella
82460 acacia drepanolobium
crematogaster nigriceps
tetraponera penzigi
41300 acacia drepanolobium
tetraponera penzigi
83958 acacia drepanolobium
tetraponera penzigi
52095 crematogaster nigriceps
tetraponera penzigi
36000 acacia drepanolobium
crematogaster mimosae
27140 acacia drepanolobium
27141 crematogaster mimosae
27142 acacia drepanolobium
tetraponera penzigi
44586 acacia mayana
camponotus planatus
pseudomyrmex ferrugineus
52108 acacia drepanolobium
crematogaster nigriceps
41300 acacia drepanolobium
tetraponera penzigi
83958 acacia drepanolobium
tetraponera penzigi
84895 acacia drepanolobium
crematogaster nigriceps
82460 acacia drepanolobium
crematogaster nigriceps
tetraponera penzigi
52095 crematogaster nigriceps
tetraponera penzigi
27760 cecropia peltata
6009 azteca alfari
camponotus balzani
cecropia purpurascens
crematogaster brasiliensis
6540 acromyrmex octospinosus
allium cepa
lycopersicon esculentum
mammea americana
manihot esculenta
nerium oleander
nicotiana tabacum
rollinia mucosa
senna alata
trichilia pallida
54669 atta sexdens
eugenia florida
eugenia handroana
trichilia pallida
9321 cecropia pachystachya
6009 azteca alfari
camponotus balzani
cecropia purpurascens
crematogaster brasiliensis
46797 cecropia obtusa
solenopsis saevissima
4246 cecropia obtusa
9321 cecropia pachystachya
